name,kv,type,lat,lon,slack
1,115,substation,-1,-1,0
2,66,substation,-1,-1,0
3,66,substation,-1,-1,0
4,230,substation,-1,-1,0
5,115,substation,-1,-1,0
6,66,substation,-1,-1,0
7,115,substation,-1,-1,0
8,115,substation,-1,-1,0
9,115,substation,-1,-1,0
10,115,substation,-1,-1,0
11,115,substation,-1,-1,0
12,66,substation,-1,-1,0
13,115,substation,-1,-1,0
14,66,substation,-1,-1,0
15,66,substation,-1,-1,0
16,66,substation,-1,-1,0
17,66,substation,-1,-1,0
18,230,substation,-1,-1,0
19,115,substation,-1,-1,0
20,115,substation,-1,-1,0
21,115,substation,-1,-1,0
22,115,substation,-1,-1,0
23,66,substation,-1,-1,0
24,66,substation,-1,-1,0
25,66,substation,-1,-1,0
26,66,substation,-1,-1,0
27,66,substation,-1,-1,0
28,66,substation,-1,-1,0
29,66,substation,-1,-1,0
30,66,substation,-1,-1,0
31,66,substation,-1,-1,0
32,115,substation,-1,-1,0
33,66,substation,-1,-1,0
34,115,substation,-1,-1,0
35,66,substation,-1,-1,0
36,66,substation,-1,-1,0
37,66,substation,-1,-1,0
38,66,substation,-1,-1,0
39,115,substation,-1,-1,0
40,66,substation,-1,-1,0
41,66,substation,-1,-1,0
42,115,substation,-1,-1,0
43,115,substation,-1,-1,0
44,115,substation,-1,-1,0
45,115,substation,-1,-1,0
46,115,substation,-1,-1,0
47,66,substation,-1,-1,0
48,115,substation,-1,-1,0
49,66,substation,-1,-1,0
50,66,substation,-1,-1,0
51,66,substation,-1,-1,0
52,115,substation,-1,-1,0
53,115,substation,-1,-1,0
54,115,substation,-1,-1,0
55,66,substation,-1,-1,0
56,115,substation,-1,-1,0
57,66,substation,-1,-1,0
58,115,substation,-1,-1,0
59,230,substation,-1,-1,0
60,115,substation,-1,-1,0
61,66,substation,-1,-1,0
62,66,substation,-1,-1,0
63,66,substation,-1,-1,0
64,66,substation,-1,-1,0
65,66,substation,-1,-1,0
66,66,substation,-1,-1,0
67,66,substation,-1,-1,0
68,66,substation,-1,-1,0
69,115,substation,-1,-1,0
70,66,substation,-1,-1,0
71,66,substation,-1,-1,0
72,66,substation,-1,-1,0
73,66,substation,-1,-1,0
74,115,substation,-1,-1,0
75,115,substation,-1,-1,0
76,66,substation,-1,-1,0
77,66,substation,-1,-1,0
78,66,substation,-1,-1,0
79,66,substation,-1,-1,0
80,115,substation,-1,-1,0
81,66,substation,-1,-1,0
82,115,substation,-1,-1,0
83,115,substation,-1,-1,0
84,66,substation,-1,-1,0
85,115,substation,-1,-1,0
86,115,substation,-1,-1,0
87,115,substation,-1,-1,0
88,66,substation,-1,-1,0
89,66,substation,-1,-1,0
90,115,substation,-1,-1,0
91,66,substation,-1,-1,0
92,115,substation,-1,-1,0
93,115,substation,-1,-1,0
94,66,substation,-1,-1,0
95,230,substation,-1,-1,0
96,66,substation,-1,-1,0
97,66,substation,-1,-1,0
98,66,substation,-1,-1,0
99,115,substation,-1,-1,0
100,115,substation,-1,-1,0
101,66,substation,-1,-1,0
102,66,substation,-1,-1,0
103,115,substation,-1,-1,0
104,66,substation,-1,-1,0
105,66,substation,-1,-1,0
106,115,substation,-1,-1,0
107,115,substation,-1,-1,0
108,115,substation,-1,-1,0
109,66,substation,-1,-1,0
110,66,substation,-1,-1,0
111,500,substation,-1,-1,0
112,66,substation,-1,-1,0
113,115,substation,-1,-1,0
114,66,substation,-1,-1,0
115,66,substation,-1,-1,0
116,66,substation,-1,-1,0
117,115,substation,-1,-1,0
118,66,substation,-1,-1,0
119,66,substation,-1,-1,0
120,66,substation,-1,-1,0
121,115,substation,-1,-1,0
122,66,substation,-1,-1,0
123,66,substation,-1,-1,0
124,115,substation,-1,-1,0
125,66,substation,-1,-1,0
126,66,substation,-1,-1,0
127,66,substation,-1,-1,0
128,66,substation,-1,-1,0
129,66,substation,-1,-1,0
130,66,substation,-1,-1,0
131,66,substation,-1,-1,0
132,66,substation,-1,-1,0
133,66,substation,-1,-1,0
134,66,substation,-1,-1,0
135,115,substation,-1,-1,0
136,230,substation,-1,-1,0
137,66,substation,-1,-1,0
138,66,substation,-1,-1,0
139,66,substation,-1,-1,0
140,66,substation,-1,-1,0
141,115,substation,-1,-1,0
142,115,substation,-1,-1,0
143,66,substation,-1,-1,0
144,66,substation,-1,-1,0
145,66,substation,-1,-1,0
146,66,substation,-1,-1,0
147,115,substation,-1,-1,0
148,66,substation,-1,-1,0
149,66,substation,-1,-1,0
150,115,substation,-1,-1,0
151,66,substation,-1,-1,0
152,66,substation,-1,-1,0
153,66,substation,-1,-1,0
154,230,substation,-1,-1,0
155,66,substation,-1,-1,0
156,66,substation,-1,-1,0
157,66,substation,-1,-1,0
158,66,substation,-1,-1,0
159,66,substation,-1,-1,0
160,66,substation,-1,-1,0
161,66,substation,-1,-1,0
162,66,substation,-1,-1,0
163,66,substation,-1,-1,0
164,115,substation,-1,-1,0
