gen_name,sc_name,tp_name,capacity_factor
1,sc1,1,1
2,sc1,1,1
3,sc1,1,1
4,sc1,1,1
5,sc1,1,1
6,sc1,1,1
7,sc1,1,1
8,sc1,1,1
9,sc1,1,1
10,sc1,1,1
11,sc1,1,1
12,sc1,1,1
13,sc1,1,1
14,sc1,1,1
15,sc1,1,1
16,sc1,1,1
17,sc1,1,1
18,sc1,1,1
19,sc1,1,1
20,sc1,1,1
21,sc1,1,1
22,sc1,1,1
23,sc1,1,1
24,sc1,1,1
25,sc1,1,1
26,sc1,1,1
27,sc1,1,1
28,sc1,1,1
29,sc1,1,1
30,sc1,1,1
31,sc1,1,1
32,sc1,1,1
33,sc1,1,1
34,sc1,1,1
35,sc1,1,1
36,sc1,1,1
37,sc1,1,1
38,sc1,1,1
39,sc1,1,1
40,sc1,1,1
41,sc1,1,1
42,sc1,1,1
43,sc1,1,1
44,sc1,1,1
45,sc1,1,1
46,sc1,1,1
47,sc1,1,1
48,sc1,1,1
49,sc1,1,1
50,sc1,1,1
51,sc1,1,1
52,sc1,1,1
53,sc1,1,1
54,sc1,1,1
55,sc1,1,1
56,sc1,1,1
57,sc1,1,1
58,sc1,1,1
59,sc1,1,1
60,sc1,1,1
61,sc1,1,1
62,sc1,1,1
63,sc1,1,1
64,sc1,1,1
65,sc1,1,1
66,sc1,1,1
67,sc1,1,1
68,sc1,1,1
69,sc1,1,1
70,sc1,1,1
71,sc1,1,1
72,sc1,1,1
73,sc1,1,1
74,sc1,1,1
75,sc1,1,1
76,sc1,1,1
77,sc1,1,1
78,sc1,1,1
79,sc1,1,1
80,sc1,1,1
81,sc1,1,1
82,sc1,1,1
83,sc1,1,1
84,sc1,1,1
85,sc1,1,1
86,sc1,1,1
87,sc1,1,1
88,sc1,1,1
89,sc1,1,1
90,sc1,1,1
91,sc1,1,1
92,sc1,1,1
93,sc1,1,1
94,sc1,1,1
95,sc1,1,1
96,sc1,1,1
97,sc1,1,1
98,sc1,1,1
99,sc1,1,1
