bus,bus_type,unused_node,voltage_kV
1,PQ,FALSE,115
2,PQ,FALSE,66
3,PQ,FALSE,66
4,PQ,FALSE,230
5,PQ,FALSE,115
6,PV,FALSE,66
7,PQ,FALSE,115
8,PQ,FALSE,115
9,PQ,FALSE,115
10,PQ,FALSE,115
11,PQ,FALSE,115
12,PQ,FALSE,66
13,PQ,FALSE,115
14,PQ,FALSE,66
15,PQ,FALSE,66
16,PV,FALSE,66
17,PV,FALSE,66
18,PQ,FALSE,230
19,PV,FALSE,115
20,PQ,FALSE,115
21,PQ,FALSE,115
22,PQ,FALSE,115
23,PQ,FALSE,66
24,PQ,FALSE,66
25,PQ,FALSE,66
26,PQ,FALSE,66
27,PQ,FALSE,66
28,PV,FALSE,66
29,PQ,FALSE,66
30,PQ,FALSE,66
31,PQ,FALSE,66
32,PV,FALSE,115
33,PQ,FALSE,66
34,PQ,FALSE,115
35,PQ,FALSE,66
36,PQ,FALSE,66
37,PQ,FALSE,66
38,PQ,FALSE,66
39,PQ,FALSE,115
40,PQ,FALSE,66
41,PQ,FALSE,66
42,PQ,FALSE,115
43,PV,FALSE,115
44,PQ,FALSE,115
45,PQ,FALSE,115
46,PV,FALSE,115
47,PQ,FALSE,66
48,PQ,FALSE,115
49,PV,FALSE,66
50,PQ,FALSE,66
51,PV,FALSE,66
52,PQ,FALSE,115
53,PQ,FALSE,115
54,PQ,FALSE,115
55,PQ,FALSE,66
56,PQ,FALSE,115
57,PQ,FALSE,66
58,PQ,FALSE,115
59,PQ,FALSE,230
60,PV,FALSE,115
61,PQ,FALSE,66
62,PQ,FALSE,66
63,PQ,FALSE,66
64,PQ,FALSE,66
65,PQ,FALSE,66
66,PQ,FALSE,66
67,PQ,FALSE,66
68,PV,FALSE,66
69,PQ,FALSE,115
70,PQ,FALSE,66
71,PV,FALSE,66
72,PQ,FALSE,66
73,PQ,FALSE,66
74,PQ,FALSE,115
75,PQ,FALSE,115
76,PV,FALSE,66
77,PQ,FALSE,66
78,PQ,FALSE,66
79,PQ,FALSE,66
80,PQ,FALSE,115
81,PQ,FALSE,66
82,PQ,FALSE,115
83,PQ,FALSE,115
84,PQ,FALSE,66
85,PQ,FALSE,115
86,PQ,FALSE,115
87,PQ,FALSE,115
88,PQ,FALSE,66
89,PQ,FALSE,66
90,PV,FALSE,115
91,PQ,FALSE,66
92,PQ,FALSE,115
93,PQ,FALSE,115
94,PQ,FALSE,66
95,PQ,FALSE,230
96,PQ,FALSE,66
97,PQ,FALSE,66
98,PQ,FALSE,66
99,PQ,FALSE,115
100,PQ,FALSE,115
101,PQ,FALSE,66
102,PQ,FALSE,66
103,PV,FALSE,115
104,PQ,FALSE,66
105,PV,FALSE,66
106,PV,FALSE,115
107,PQ,FALSE,115
108,PV,FALSE,115
109,PQ,FALSE,66
110,PQ,FALSE,66
111,PV,FALSE,500
112,PV,FALSE,66
113,PV,FALSE,115
114,PQ,FALSE,66
115,PQ,FALSE,66
116,PV,FALSE,66
117,PQ,FALSE,115
118,PQ,FALSE,66
119,PQ,FALSE,66
120,PQ,FALSE,66
121,PV,FALSE,115
122,PQ,FALSE,66
123,PQ,FALSE,66
124,PQ,FALSE,115
125,PV,FALSE,66
126,PQ,FALSE,66
127,PQ,FALSE,66
128,PQ,FALSE,66
129,PQ,FALSE,66
130,PQ,FALSE,66
131,PV,FALSE,66
132,PQ,FALSE,66
133,PQ,FALSE,66
134,PQ,FALSE,66
135,PQ,FALSE,115
136,PQ,FALSE,230
137,PV,FALSE,66
138,PV,FALSE,66
139,PQ,FALSE,66
140,PQ,FALSE,66
141,PQ,FALSE,115
142,PQ,FALSE,115
143,PQ,FALSE,66
