line,bus_from,bus_to,angle_max_deg,angle_min_deg,b_pu,g_pu,r_pu,rating_MVA,transformer,x_pu
1,1,2410,60.00014031,-60.00014031,2.70513E-05,0,4.77325E-05,175,FALSE,0.000218973
2,2410,20,60.00014031,-60.00014031,0.002320551,0,0.00091416,437,FALSE,0.007485377
3,2410,2411,60.00014031,-60.00014031,0.002469329,0,0.003540388,185,FALSE,0.016137801
4,2411,1618,60.00014031,-60.00014031,7.07109E-05,0,0.000155719,142,FALSE,0.000468687
5,2411,1617,60.00014031,-60.00014031,0.000537191,0,0.000648026,219,FALSE,0.004104351
6,1617,2412,60.00014031,-60.00014031,0.000816776,0,0.001045868,219,FALSE,0.007016112
7,2359,2360,60.00014031,-60.00014031,0.00711508,0,0.23093904,41,FALSE,0.368843148
8,2031,2426,60.00014031,-60.00014031,6.74966E-05,0,0.001679829,64,FALSE,0.004440591
9,6724,5593,60.00014031,-60.00014031,7.2214E-05,0,0.000459576,141,FALSE,0.00411439
10,5593,2413,60.00014031,-60.00014031,0.000245114,0,0.004277243,80,FALSE,0.015814843
11,2426,6724,60.00014031,-60.00014031,6.75837E-05,0,0.001197397,80,FALSE,0.004491774
12,2414,8021,60.00014031,-60.00014031,0.001055552,0,0.006070384,110,FALSE,0.020557766
13,2415,2446,60.00014031,-60.00014031,0.000170346,0,0.00268915,176,FALSE,0.011982743
14,2034,2417,60.00014031,-60.00014031,3.11226E-05,0,0.000178273,141,FALSE,0.001442389
15,2436,2416,60.00014031,-60.00014031,0.000220271,0,0.005369884,64,FALSE,0.013916957
16,2417,2436,60.00014031,-60.00014031,1.2514E-05,0,0.000311444,64,FALSE,0.000823295
17,2417,2418,60.00014031,-60.00014031,0.000218997,0,0.005338819,64,FALSE,0.013836448
18,1867,2034,60.00014031,-60.00014031,0.000353619,0,0.007048799,57,FALSE,0.009689568
18,1867,2034,60.00014031,-60.00014031,0.000353619,0,0.007048799,57,FALSE,0.009689568
19,1866,2440,60.00014031,-60.00014031,0.000107642,0,0.004377372,41,FALSE,0.008578813
20,2440,2419,60.00014031,-60.00014031,0.000418943,0,0.011346593,64,FALSE,0.032543428
21,2420,1866,60.00014031,-60.00014031,0.000105996,0,0.002584027,64,FALSE,0.006696939
22,2421,5705,60.00014031,-60.00014031,0.000243914,0,0.029241544,24,FALSE,0.0231413
23,5705,2419,60.00014031,-60.00014031,3.6909E-05,0,0.001554694,78,FALSE,0.002596541
24,2422,2423,60.00014031,-60.00014031,0.000412957,0,0.01118448,64,FALSE,0.032078464
25,2423,2424,60.00014031,-60.00014031,0.000171249,0,0.000984844,110,FALSE,0.003335229
26,2424,2425,60.00014031,-60.00014031,9.41106E-05,0,0.00224089,64,FALSE,0.005676111
27,2425,2032,60.00014031,-60.00014031,0.000170193,0,0.004446107,64,FALSE,0.012315399
28,2425,2414,60.00014031,-60.00014031,5.13463E-05,0,0.001277888,64,FALSE,0.003378068
29,2426,2362,60.00014031,-60.00014031,0.000627388,0,0.009673281,64,FALSE,0.016227316
30,2427,6726,60.00014031,-60.00014031,1.64162E-05,0,0.000428856,64,FALSE,0.001187901
31,6726,2428,60.00014031,-60.00014031,0.000412648,0,0.010059577,64,FALSE,0.026071286
32,2428,2429,60.00014031,-60.00014031,6.30772E-05,0,0.001478477,82,FALSE,0.001764977
33,2429,2430,60.00014031,-60.00014031,4.02913E-05,0,0.000959384,64,FALSE,0.002430093
34,2430,2033,60.00014031,-60.00014031,0.000215136,0,0.00524469,64,FALSE,0.013592495
35,2031,2431,60.00014031,-60.00014031,0.000605096,0,0.014182702,82,FALSE,0.016931221
36,2431,2432,60.00014031,-60.00014031,6.3821E-05,0,0.005434068,56,FALSE,0.005250401
37,2432,2033,60.00014031,-60.00014031,0.000390558,0,0.012577464,70,FALSE,0.011780057
38,1867,2034,60.00014031,-60.00014031,0.000350207,0,0.005399625,64,FALSE,0.009058074
38,1867,2034,60.00014031,-60.00014031,0.000350207,0,0.005399625,64,FALSE,0.009058074
39,1867,2433,60.00014031,-60.00014031,0.000468896,0,0.007229603,64,FALSE,0.012127936
40,2434,2435,60.00014031,-60.00014031,6.82235E-05,0,0.001782271,64,FALSE,0.004936761
41,2433,2438,60.00014031,-60.00014031,2.86331E-05,0,0.000956142,57,FALSE,0.002145119
42,2438,2436,60.00014031,-60.00014031,0.000145469,0,0.01687586,24,FALSE,0.012944734
43,2437,2438,60.00014031,-60.00014031,5.9195E-05,0,0.001586018,64,FALSE,0.004500614
44,2434,2437,60.00014031,-60.00014031,2.20989E-05,0,0.00034073,64,FALSE,0.000571587
45,2435,2439,60.00014031,-60.00014031,2.28592E-05,0,0.000544305,64,FALSE,0.00137871
46,2440,2420,60.00014031,-60.00014031,7.68927E-05,0,0.001913675,64,FALSE,0.005058759
47,2420,2441,60.00014031,-60.00014031,0.000105611,0,0.002829645,64,FALSE,0.008029635
48,2035,2421,60.00014031,-60.00014031,0.000124283,0,0.003329919,64,FALSE,0.00944925
49,2441,2442,60.00014031,-60.00014031,3.58994E-05,0,0.000206456,110,FALSE,0.000699176
50,2442,2443,60.00014031,-60.00014031,3.49026E-05,0,0.000831074,64,FALSE,0.002105087
51,2443,2444,60.00014031,-60.00014031,3.6248E-05,0,0.000208461,110,FALSE,0.000705964
52,2444,2445,60.00014031,-60.00014031,7.80082E-05,0,0.002037886,64,FALSE,0.005644797
53,2445,2446,60.00014031,-60.00014031,0.000493053,0,0.002835509,110,FALSE,0.009602639
54,2446,2034,60.00014031,-60.00014031,4.59185E-05,0,0.000264076,110,FALSE,0.000894307
54,2446,2034,60.00014031,-60.00014031,4.59185E-05,0,0.000264076,110,FALSE,0.000894307
55,2446,2034,60.00014031,-60.00014031,4.81049E-05,0,0.000276649,110,FALSE,0.000936888
55,2446,2034,60.00014031,-60.00014031,4.81049E-05,0,0.000276649,110,FALSE,0.000936888
