generator,timepoint,DispatchGen_MW
cats_1,2035-01-01T00:00:00.000000-0800,0.0
cats_2,2035-01-01T00:00:00.000000-0800,233.0
cats_3,2035-01-01T00:00:00.000000-0800,233.0
cats_4,2035-01-01T00:00:00.000000-0800,233.0
cats_5,2035-01-01T00:00:00.000000-0800,233.0
cats_6,2035-01-01T00:00:00.000000-0800,233.0
cats_7,2035-01-01T00:00:00.000000-0800,233.0
cats_8,2035-01-01T00:00:00.000000-0800,0.0
cats_9,2035-01-01T00:00:00.000000-0800,0.0
cats_10,2035-01-01T00:00:00.000000-0800,0.0
cats_11,2035-01-01T00:00:00.000000-0800,0.0
cats_12,2035-01-01T00:00:00.000000-0800,0.0
cats_13,2035-01-01T00:00:00.000000-0800,0.0
cats_14,2035-01-01T00:00:00.000000-0800,0.0
cats_15,2035-01-01T00:00:00.000000-0800,0.0
cats_16,2035-01-01T00:00:00.000000-0800,0.0
cats_17,2035-01-01T00:00:00.000000-0800,0.0
cats_18,2035-01-01T00:00:00.000000-0800,0.0
cats_19,2035-01-01T00:00:00.000000-0800,0.0
cats_20,2035-01-01T00:00:00.000000-0800,0.0
cats_21,2035-01-01T00:00:00.000000-0800,164.6
cats_22,2035-01-01T00:00:00.000000-0800,7.61359656230556
cats_23,2035-01-01T00:00:00.000000-0800,189.2
cats_24,2035-01-01T00:00:00.000000-0800,164.6
cats_25,2035-01-01T00:00:00.000000-0800,164.6
cats_26,2035-01-01T00:00:00.000000-0800,189.2
cats_27,2035-01-01T00:00:00.000000-0800,20.0
cats_28,2035-01-01T00:00:00.000000-0800,9.992200779489558
cats_29,2035-01-01T00:00:00.000000-0800,0.0
cats_30,2035-01-01T00:00:00.000000-0800,0.0
cats_31,2035-01-01T00:00:00.000000-0800,0.0
cats_32,2035-01-01T00:00:00.000000-0800,55.1
cats_33,2035-01-01T00:00:00.000000-0800,0.0
cats_34,2035-01-01T00:00:00.000000-0800,0.0
cats_35,2035-01-01T00:00:00.000000-0800,0.0
