storage,scenario,PowerCap_MW,EnergyCap_MWh
cats_1,climate_1,271.0,6504.0
cats_2,climate_1,271.0,6504.0
cats_3,climate_1,271.0,6504.0
cats_4,climate_1,271.0,6504.0
cats_5,climate_1,4.2,100.80000000000001
cats_6,climate_1,4.2,100.80000000000001
cats_7,climate_1,4.2,100.80000000000001
cats_8,climate_1,4.2,100.80000000000001
cats_9,climate_1,4.2,100.80000000000001
cats_10,climate_1,4.2,100.80000000000001
cats_11,climate_1,53.0,1272.0
cats_12,climate_1,53.0,1272.0
cats_13,climate_1,53.0,1272.0
cats_14,climate_1,53.0,1272.0
cats_15,climate_1,53.0,1272.0
cats_16,climate_1,53.0,1272.0
cats_17,climate_1,53.0,1272.0
cats_18,climate_1,53.0,1272.0
cats_19,climate_1,351.0,8424.0
cats_20,climate_1,351.0,8424.0
cats_21,climate_1,21.0,504.0
cats_22,climate_1,21.0,504.0
cats_23,climate_1,300.0,1200.0
cats_24,climate_1,100.0,400.0
cats_25,climate_1,30.0,20.0
cats_26,climate_1,1.0,6.8
cats_27,climate_1,20.0,20.0
cats_28,climate_1,0.3,0.5
cats_29,climate_1,10.0,10.0
cats_30,climate_1,10.0,10.0
cats_31,climate_1,2.5,5.0
cats_32,climate_1,230.0,920.0
cats_33,climate_1,0.5,1.0
cats_34,climate_1,75.0,75.0
cats_35,climate_1,37.0,128.0
cats_36,climate_1,35.0,160.0
cats_37,climate_1,115.0,538.6
cats_38,climate_1,63.0,301.2
cats_39,climate_1,115.0,538.6
cats_40,climate_1,2.0,2.0
cats_41,climate_1,45.0,176.0
cats_42,climate_1,43.0,176.0
cats_43,climate_1,1.0,2.0
cats_44,climate_1,1.5,1.5
cats_45,climate_1,0.5,1.5
cats_46,climate_1,1.0,3.0
cats_47,climate_1,1.0,3.0
cats_48,climate_1,1.0,3.0
cats_49,climate_1,7.5,30.0
cats_50,climate_1,30.0,120.0
cats_51,climate_1,10.0,40.0
cats_52,climate_1,10.0,40.0
cats_53,climate_1,10.0,40.0
cats_54,climate_1,10.0,4.5
cats_55,climate_1,10.0,4.5
cats_56,climate_1,2.4,9.6
cats_57,climate_1,2.0,8.0
cats_58,climate_1,2.0,1.0
cats_59,climate_1,2.0,8.0
cats_60,climate_1,100.0,400.0
cats_61,climate_1,30.0,120.0
cats_62,climate_1,20.0,10.0
cats_63,climate_1,40.0,38.0
cats_64,climate_1,1.0,6.9
cats_65,climate_1,1.0,6.5
cats_66,climate_1,4.5,27.0
cats_67,climate_1,2.5,15.0
cats_68,climate_1,3.3,19.8
cats_69,climate_1,1.0,2.0
cats_70,climate_1,0.5,0.5
cats_71,climate_1,0.5,0.9
cats_72,climate_1,200.0,800.0
cats_73,climate_1,1.0,1.0
cats_74,climate_1,1.4,3.7
cats_75,climate_1,9.0,36.0
cats_76,climate_1,6.0,24.0
cats_77,climate_1,182.5,730.0
cats_78,climate_1,2.0,4.0
cats_79,climate_1,10.0,10.0
cats_80,climate_1,2.0,6.0
cats_81,climate_1,3.0,12.0
cats_82,climate_1,10.0,40.0
cats_83,climate_1,10.0,40.0
cats_84,climate_1,1.0,4.0
cats_85,climate_1,0.4,0.4
cats_86,climate_1,0.2,0.2
cats_87,climate_1,0.3,0.3
cats_88,climate_1,0.5,0.8
cats_89,climate_1,0.5,0.5
cats_90,climate_1,1.5,9.0
cats_91,climate_1,1.2,6.3
cats_92,climate_1,2.5,15.0
cats_93,climate_1,1.0,6.0
cats_94,climate_1,2.0,13.0
cats_95,climate_1,1.0,5.0
cats_96,climate_1,1.5,8.6
cats_97,climate_1,4.9,32.6
cats_98,climate_1,1.3,7.2
cats_99,climate_1,100.0,400.0
cats_100,climate_1,33.8,135.0
cats_101,climate_1,50.0,200.0
cats_102,climate_1,10.0,40.0
cats_103,climate_1,46.5,186.0
cats_104,climate_1,11.0,44.0
cats_105,climate_1,250.0,700.0
cats_106,climate_1,20.0,20.0
cats_107,climate_1,100.0,400.0
cats_108,climate_1,60.0,242.0
cats_109,climate_1,60.0,240.0
cats_110,climate_1,35.0,140.0
cats_111,climate_1,50.0,200.0
cats_112,climate_1,132.0,528.0
cats_113,climate_1,110.0,440.0
cats_114,climate_1,0.4,1.0
cats_115,climate_1,8.3,3.4
cats_116,climate_1,10.0,40.0
cats_117,climate_1,10.0,40.0
cats_118,climate_1,50.0,50.0
cats_119,climate_1,20.0,50.0
cats_120,climate_1,125.0,250.0
cats_121,climate_1,100.0,200.0
cats_122,climate_1,100.0,400.0
cats_123,climate_1,2.5,2.5
cats_124,climate_1,2.5,2.5
cats_125,climate_1,2.2,8.8
cats_126,climate_1,11.0,31.5
cats_127,climate_1,144.0,272.0
cats_128,climate_1,120.0,250.00000000000003
cats_129,climate_1,20.0,80.0
cats_130,climate_1,33.0,70.0
cats_131,climate_1,40.0,83.5
cats_132,climate_1,40.0,88.0
cats_133,climate_1,112.0,448.0
cats_134,climate_1,1.0,2.2
cats_135,climate_1,200.0,800.0
cats_136,climate_1,150.0,600.0
cats_137,climate_1,1.0,2.0
cats_138,climate_1,0.7,3.0
cats_139,climate_1,0.5,0.9
cats_140,climate_1,0.8,3.1
cats_141,climate_1,0.6,1.1
cats_142,climate_1,1.1,2.1
cats_143,climate_1,0.9,2.1
cats_144,climate_1,2.1,4.0
cats_145,climate_1,230.0,920.0
cats_146,climate_1,127.0,508.0
cats_147,climate_1,85.0,212.0
cats_148,climate_1,54.0,216.0
cats_149,climate_1,0.7,1.3
