storage,scenario,timepoint,Charge_MW,Discharge_MW
cats_1,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_2,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_3,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_4,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_5,climate_1,2035-01-01T00:00:00.000000-0800,4.184120982986782,0.0
cats_6,climate_1,2035-01-01T00:00:00.000000-0800,4.184120982986785,0.0
cats_7,climate_1,2035-01-01T00:00:00.000000-0800,4.184120982986769,0.0
cats_8,climate_1,2035-01-01T00:00:00.000000-0800,4.184120982986762,0.0
cats_9,climate_1,2035-01-01T00:00:00.000000-0800,4.184120982986764,0.0
cats_10,climate_1,2035-01-01T00:00:00.000000-0800,4.18412098298679,0.0
cats_11,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_12,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_13,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_14,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_15,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_16,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_17,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_18,climate_1,2035-01-01T00:00:00.000000-0800,53.0,0.0
cats_19,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_20,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_21,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_22,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_23,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_24,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_25,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_26,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_27,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_28,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_29,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_30,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
cats_31,climate_1,2035-01-01T00:00:00.000000-0800,0.0,0.0
