storage,scenario,timepoint,SOC_MWh
cats_1,climate_1,2035-01-01T00:00:00.000000-0800,4.547221385140377e-16
cats_2,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_3,climate_1,2035-01-01T00:00:00.000000-0800,6350.911740064753
cats_4,climate_1,2035-01-01T00:00:00.000000-0800,-2.624057182442538e-16
cats_5,climate_1,2035-01-01T00:00:00.000000-0800,30.897391304347842
cats_6,climate_1,2035-01-01T00:00:00.000000-0800,30.897391304347845
cats_7,climate_1,2035-01-01T00:00:00.000000-0800,30.89739130434783
cats_8,climate_1,2035-01-01T00:00:00.000000-0800,30.897391304347824
cats_9,climate_1,2035-01-01T00:00:00.000000-0800,30.897391304347828
cats_10,climate_1,2035-01-01T00:00:00.000000-0800,30.89739130434785
cats_11,climate_1,2035-01-01T00:00:00.000000-0800,97.52000000000001
cats_12,climate_1,2035-01-01T00:00:00.000000-0800,97.52000000000001
cats_13,climate_1,2035-01-01T00:00:00.000000-0800,97.52000000000001
cats_14,climate_1,2035-01-01T00:00:00.000000-0800,97.52000000000001
cats_15,climate_1,2035-01-01T00:00:00.000000-0800,97.52000000000001
cats_16,climate_1,2035-01-01T00:00:00.000000-0800,101.59840096019524
cats_17,climate_1,2035-01-01T00:00:00.000000-0800,97.52000000000001
cats_18,climate_1,2035-01-01T00:00:00.000000-0800,97.52000000000001
cats_19,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_20,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_21,climate_1,2035-01-01T00:00:00.000000-0800,504.0
cats_22,climate_1,2035-01-01T00:00:00.000000-0800,504.0
cats_23,climate_1,2035-01-01T00:00:00.000000-0800,3.9171219169672e-15
cats_24,climate_1,2035-01-01T00:00:00.000000-0800,3.641290666951962e-15
cats_25,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_26,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_27,climate_1,2035-01-01T00:00:00.000000-0800,-1.891773707611799e-16
cats_28,climate_1,2035-01-01T00:00:00.000000-0800,7.496241583200558e-18
cats_29,climate_1,2035-01-01T00:00:00.000000-0800,7.646057699902201e-16
cats_30,climate_1,2035-01-01T00:00:00.000000-0800,-2.0229461482525739e-16
cats_31,climate_1,2035-01-01T00:00:00.000000-0800,-1.8689437874031315e-16
cats_32,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_33,climate_1,2035-01-01T00:00:00.000000-0800,7.289077544331946e-19
cats_34,climate_1,2035-01-01T00:00:00.000000-0800,-2.791620482616385e-16
cats_35,climate_1,2035-01-01T00:00:00.000000-0800,47.565217391304365
cats_36,climate_1,2035-01-01T00:00:00.000000-0800,58.206559453253426
cats_37,climate_1,2035-01-01T00:00:00.000000-0800,413.6
cats_38,climate_1,2035-01-01T00:00:00.000000-0800,232.72173913043477
cats_39,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_40,climate_1,2035-01-01T00:00:00.000000-0800,-1.396909531255051e-17
cats_41,climate_1,2035-01-01T00:00:00.000000-0800,2.6450384479655878e-24
cats_42,climate_1,2035-01-01T00:00:00.000000-0800,-6.303593236623195e-24
cats_43,climate_1,2035-01-01T00:00:00.000000-0800,0.9130434782608696
cats_44,climate_1,2035-01-01T00:00:00.000000-0800,2.8138679995936913e-17
cats_45,climate_1,2035-01-01T00:00:00.000000-0800,2.6402056670585944e-17
cats_46,climate_1,2035-01-01T00:00:00.000000-0800,0.24000000000000019
cats_47,climate_1,2035-01-01T00:00:00.000000-0800,2.08
cats_48,climate_1,2035-01-01T00:00:00.000000-0800,-1.6884865628081034e-17
cats_49,climate_1,2035-01-01T00:00:00.000000-0800,30.0
cats_50,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_51,climate_1,2035-01-01T00:00:00.000000-0800,1.1046369746869124e-16
cats_52,climate_1,2035-01-01T00:00:00.000000-0800,40.0
cats_53,climate_1,2035-01-01T00:00:00.000000-0800,40.0
cats_54,climate_1,2035-01-01T00:00:00.000000-0800,3.7184111109753344e-17
cats_55,climate_1,2035-01-01T00:00:00.000000-0800,2.4031277625670162e-17
cats_56,climate_1,2035-01-01T00:00:00.000000-0800,3.981913043478263
cats_57,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_58,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_59,climate_1,2035-01-01T00:00:00.000000-0800,8.0
cats_60,climate_1,2035-01-01T00:00:00.000000-0800,182.60869565217396
