bus,generator,site,c0_USD,c1_USDperMWh,c2_USDperMWh2,cap_existing_power_MW,cap_max_power_MW,cost_fixed_power_USDperkW,cost_variable_USDperMWh,technology
1804,cats_1,no_capacity_factor,1427.41303,44.9151794,0.082991653,71.2,71.2,0,184.45194999999998,natural gas fired combustion turbine
7971,cats_2,no_capacity_factor,878.874372,13.4742144,0.022715841,233,233,0,75.77552499999999,natural gas fired combined cycle
7971,cats_3,no_capacity_factor,878.874372,13.4742144,0.022715841,233,233,0,75.77552499999999,natural gas fired combined cycle
7971,cats_4,no_capacity_factor,878.874372,13.4742144,0.022715841,233,233,0,75.77552499999999,natural gas fired combined cycle
7971,cats_5,no_capacity_factor,878.874372,13.4742144,0.022715841,233,233,0,75.77552499999999,natural gas fired combined cycle
7971,cats_6,no_capacity_factor,878.874372,13.4742144,0.022715841,233,233,0,75.77552499999999,natural gas fired combined cycle
7971,cats_7,no_capacity_factor,878.874372,13.4742144,0.022715841,233,233,0,75.77552499999999,natural gas fired combined cycle
8113,cats_8,no_capacity_factor,796.7,21.363000000000003,0.0069886,310,310,0,118.83833499999999,natural gas steam turbine
8113,cats_9,no_capacity_factor,796.7,21.363000000000003,0.0069886,310,310,0,118.83833499999999,natural gas steam turbine
8113,cats_10,no_capacity_factor,1184.1,21.025000000000002,0.0038575,495,495,0,118.83833499999999,natural gas steam turbine
8343,cats_11,no_capacity_factor,600.51,21.909000000000002,0.0097412,218,218,0,112.136605,natural gas steam turbine
8347,cats_12,no_capacity_factor,301.435141,14.1545215,0.065960886,63,63,0,170.16018999999997,natural gas fired combustion turbine
8347,cats_13,no_capacity_factor,301.435141,14.1545215,0.065960886,63,63,0,170.16018999999997,natural gas fired combustion turbine
8347,cats_14,no_capacity_factor,301.435141,14.1545215,0.065960886,63,63,0,170.16018999999997,natural gas fired combustion turbine
8347,cats_15,no_capacity_factor,301.435141,14.1545215,0.065960886,63,63,0,170.16018999999997,natural gas fired combustion turbine
1483,cats_16,no_capacity_factor,2076.3,19.79,0.0028305,806,806,0,109.5372059090909,natural gas steam turbine
